Name,Date,Tags,Sector,Countries
mgfsourcing.com,2/1/2024,"finance/hr data, passwords, personal images, sales reports",Retail,United States
thompsoncreek.com,2/1/2024,"payroll, ar records, bank deposit confirmations, employee withholding certificate, kpi, learning and development",Service Provider,United States
northernsafety.com,2/1/2024,"accounting reports, credit card information, finance po reports, project folders, qa documents, warehouse information",Distributor,United States
usdermpartners.com,22/1/2024,"accounting & finance data, business office data, compliance data, employees personal folders and documents, legal data, scans and fax, credentialing data, human resources",Healthcare,United States
memc.com,23/1/2024,"clients data, nda documents, personal employees documents and info, r&d/engineering data",Semiconductor,United States
pkaufmann.com,23/1/2024,"confidential information, hr, accounting and finance data, scanned documents, user personal information",Manufacturing,United States
hpecds.com,23/1/2024,"action logs, employee personal data, personal identification documents, project plan and organisation structure, vetting forms, data mart extractions, developer handover checklists",Technology,United Kingdom
posiplus.com,23/1/2024,"employee personal data, field service management procedures, password files",Manufacturing,Canada
atos.com,23/1/2024,"action logs, employee personal data, personal identification documents, project plan and organisation structure, vetting forms",Industrial Automation,Italy
dutyfreeamericas.com,23/1/2024,"duty free docs, finance docs, hr docs, legal docs",Retail,United States
keybenefit.com,23/1/2024,"audit data, client relations decouments, executive level documents, pmo documents, users and employee data",Financial Services,United States
wielton.com.pl,23/1/2024,"change management documentation, currency exchange sheet, project documentations, project drawings",Transportation,Poland
scrubsandbeyond.com,26/1/2024,"client services documents, employee records, payroll/accounting information",Healthcare,United States
grupoamper.com,26/1/2024,"payroll, r&d data, scans, company data:hr, finance, pmo data, users and employee personal data",Telecommunication,Spain
modplan.co.uk,5/2/2024,"users personal data, director level data, finance data, payroll data",Construction,United Kingdom
akdenizchemson.com,9/2/2024,"corporate data, department data, hr, users personal data, financial",Manufacturing,Australia
talalayglobal.com,13/2/2024,"accounting & finance data, business office data, compliance data, employees personal folders and documents, legal data, scans and fax, credentialing data, human resources",Manufacturing,United States
olsonsteel.com,13/2/2024,"confidential documents and drawings, employees and user personal data, hr/accounting data, projects and cad data",Construction,United States
ssiworld.com,13/2/2024,"department data, hr data, personal users data",Waste Management,United States
