Name,Countries,Date,Tags,Sector
State of Alabama - Alabama Department Of Education,United States,9/4/2024,"Confidential, Customer's data, Financial data",Education
The University and College Union,United Kingdom,12/4/2024,Confidential,Education
Health Quality Council,Canada,13/4/2024,Confidential,Healthcare
a4hs-dom.local,United States,13/4/2024,Confidential,Healthcare
Planar,United States,16/4/2024,Confidential,Technology
The Coffee Bean & Tea Leaf,United States,16/4/2024,Confidential,F&B
Storck-Baugesellschaft mbH,Germany,16/4/2024,"Confidential, Financial data, Customer's data",Construction
San Francisco Sheriff's Department (sjcso.local),United States,16/4/2024,Not Yet Published,Law Enforcement
Quantum Healthcare,United States,16/4/2024,Confidential,Healthcare
DINAS Corp,United States,17/4/2024,"Financial data, Confidential, HR",Distributor
Divine Interprises INC,United States,17/4/2024,"Financial data, Confidential, Customer's data, Contracts",Transportation
Visionary Homes,United States,17/4/2024,"Confidential, Financial data, HR",Real Estate
ERoko Distributors + Colonial Countertops,Canada,17/4/2024,"Confidential, Financial data, Contracts, HR, Incidents, Customer's data",Manufacturing
Nusser Mineralöl GmbH,Germany,17/4/2024,"Confidential, HR, Customer's data, Financial data, Contracts",Energy (Oil and Gas)
Don’t Waste Group,South Africa,17/4/2024,"Confidential, Financial data, Customer's data, Incidents, HR, Contracts",Waste Management
E-Z Pack Holdings LLC,United States,17/4/2024,"Confidential, Customer's data, Contracts, Incidents, HR, Financial data",Manufacturing
Boombah Inc.,United States,21/4/2024,"Confidential, Financial data, HR, Customer's data",Sports
HP Distribution,United States,21/4/2024,"Confidential, Financial data, Customer's data",Transportation
OnePoint Patient Care,United States,21/4/2024,"Confidential, Customer's data",Healthcare
Regent Care Center,United States,21/4/2024,"Confidential, Financial data, Incidents",Healthcare
HL Lawson & Sons,United States,22/4/2024,"Contracts, Confidential",Transportation
Larc,United States,23/4/2024,"Confidential, Financial data, Customer's data",Elderly Care Services
erne,"
Switzerland",23/4/2024,"Confidential, Contracts, Customer's data, Contracts, Confidential",Construction
DERBY SCHOOL,United States,23/4/2024,"Contracts, Financial data, Confidential, Contracts, Financial data, Confidential, Incidents",Education
Norther n Bedford County School District (nbcsc.org),United States,23/4/2024,Not Yet Published,Education
Cambridge University Press & Assessment,United Kingdom,23/4/2024,"Confidential, Financial data, Customer's data, HR, Incidents",Education
Behavioral Health Response (bhr.local),United States,23/4/2024,"Confidential, Financial data, Customer's data, Incidents, HR, Contracts",Non-Profit
Association Management Strategies(AAMC.local),United States,23/4/2024,"Confidential, Financial data, Customer's data, HR, Contracts",Consulting
Catholic Charities,United States,23/4/2024,Not Yet Published,Non-Profit
maingroup,Ireland,23/4/2024,"Contracts, Financial data, Confidential",Hospitality
GBA GROUP,United States,25/4/2024,"Contracts, Confidential, Financial data, Customer's data, HR, Confidential",Life Science Service
Guhring USA,United States,25/4/2024,Not Yet Published,Manufacturing
A.L.P. Lighting Components,United States,25/4/2024,Not Yet Published,Manufacturing
waupacacounty-wi.gov,United States,25/4/2024,"Contracts, Incidents, Customer's data, Financial data",Government
Center for Human Capital Innovation (centerforhci.org),United States,25/4/2024,"Confidential, Financial data, Customer's data, Contracts",Consulting
Midwest Covenant Home,United States,25/4/2024,"Confidential, Customer's data, Financial data",Non-Profit
Talley Group,United States,25/4/2024,"Contracts, Financial data, Customer's data, HR",Healthcare
Regional Obstetrical Consultants,United States,28/4/2024,"Financial data, Customer's data, Confidential",Healthcare
Richland City Hall,United States,28/4/2024,"Confidential, Financial data, Customer's data",Government
Rockford Public School District,United States,28/4/2024,"Confidential, Customer's data, Incidents, Contracts, Financial data, Confidential",Education
City Of Coon Rapids,United States,28/4/2024,Not Yet Published,Government
Puyallup Tribe (ptoi.local),United States,28/4/2024,Not Yet Published,Government
Maryhaven (MHCLINICAL.LOCAL),United States,28/4/2024,Not Yet Published,Healthcare
OCEANAIR,United States,29/4/2024,"Financial data, Contracts, Customer's data, HR, Confidential",Transportation
Ejército del Per,Peru,29/4/2024,"Confidential, Incidents, Contracts, HR, Financial data, Customer's data",Government
First Nations Health Authority (fnha.local),Canada,30/4/2024,"Contracts, Confidential, Financial data, Customer's data, HR, Incidents",Healthcare
middletown-township.org,United States,30/4/2024,"Contracts, Incidents",Government
Sensory Spectrum,United States,30/4/2024,Not Yet Published,Consulting
Crandall ISD (CISD.crandallisd.org),United States,30/4/2024,"Contracts, Confidential, HR, Incidents, Customer's data, Financial data",Education
Access Sports Medicine & Orthopaedics,United States,30/4/2024,"Confidential, Financial data, Customer's data, HR, Contracts",Healthcare
Seneca Nation Health System,United States,30/4/2024,Confidential,Healthcare
Gorrie-Regan,United States,30/4/2024,Not Yet Published,Technology
Sacred Heart Community Service (shcstheheart.org),United States,30/4/2024,Not Yet Published,Service Provider
Kito Canada,Canada,30/4/2024,Not Yet Published,Manufacturing
Deeside Timberframe,United Kingdom,30/4/2024,"Contracts, Financial data, Contracts, Confidential, Financial data, Incidents, Customer's data",Manufacturing
