Name,Country,Date,Tags,Sector
www.eurobulk.gr,Greece,25/9/2024,"Personal Information, Client Documents, Payroll Records, Accounting Files, Contracts, Tax Information",Transportation
www.broadgrain.com,Canada,25/9/2024,Company Analysis ,Agriculture
www.tbmdf.com,United States,27/9/2024,"Invoice Documents, Business Process Documents ",Industrial Machinery & Equipment.
www.omega-industries.com,United States,27/9/2024,"Personal Information, Client Documents, Financial Information",Manufacturing
www.nobleenviro.com,United States,27/9/2024,"Client Information, Bank Statement, Employee Information, Financial Documents, Invoice Documents",Environmental Services 
www.messec.dk,Denmark,26/9/2024,Operation Documents ,Hospitality and Tourism 
www.jacksonpaper.net,United States,26/9/2024,"Operation Documents, Project Documents, Business Process Documents ",Paper Manufacturing.
www.plaistedcompanies.com,United States,24/9/2024,"Personal Information, Client Documents, Financial Information",Mining
www.multidata.lu,Luxembourg,20/9/2024,Business Process Documents,Information Technology (IT)
www.hariripontarini.com,Canada,21/9/2024,"Business Process Documents, Invoice Documents",Architecture
www.rsp.ca,Canada,25/9/2024,Client Documents,Accounting Services
www.pipusa.com,United States,22/9/2024,Not Yet Published,Manufacturing
www.baskervill.com,United States,22/9/2024,"Project Documents, Business License",Architecture
www.creativeplaythings.com,United States,19/9/2024,"Personal Information, Client Information ",Retail
www.dminj.com,United States,19/9/2024,Business Process Documents ,Retail
www.truefamilyenterprises.com,United States,20/9/2024,"Personal Information, Pharmaceutical Data, Accounting Documents ",Venture Capital & Private Equity.
www.secooler.com,United States,13/9/2024,"Client Information, Customer Information, Personal Documents ",Manufacturing
www.virginiadare.com,United States,13/9/2024,Not Yet Published,Food and Beverage Industry
www.swartzelectric.com,United States,14/9/2024,Client Documents,Electrical Services
www.belairbayclub.com,United States,21/9/2024,"Client Documents, Payroll Data, Contracts ",Social Clubs
www.elginseparationsolutions.com,United States,15/9/2024,"Accounting Documents, Payroll Data, Invoice Documents",Environmental Services 
www.pwadc.net,United States,15/9/2024,"Company Documents, Project Documents ",Distribution 
www.weldco-beales.com,Canada,15/9/2024,"Project Documents, Personal Information ",Manufacturing
www.evansdist.com,United States,15/9/2024,Not Yet Published,Supply Chain Management
www.seirus.com,United States,9/9/2024,"Customer Information, Invoice Documents",Retail
www.craingroup.com,United States,9/9/2024,"Blueprints, Project Documents, IT Documents",Construction
www.bakersfield.com,United States,9/9/2024,Not Yet Published,Media
www.farmersrice.com,United States,12/9/2024,"Personal Information, Client Information, Internal Documents",Agriculture
www.clabots.be,Belgium,2/9/2024,"Invoice Documents, Client Information ",Construction
www.omicrongranite.net,United States,2/9/2024,Not Yet Published,Construction
www.universalpure.com,United States,2/9/2024,Not Yet Published,Food Manufacturing
www.abcparts.net,United States,2/9/2024,"Client Information, Bank Statement, Employee Information, Financial Documents, Invoice Documents",Automotive 
www.gdbinternational.com,United States,2/9/2024,"Personal Information, Client Information, Internal Documents",Environmental  
www.seadeo.com,United States,31/8/2024,Not Yet Published,Information Technology (IT)
www.epibreads.com,United States,2/9/2024,"Financial Documents, Employee Documents",Food and Beverage Industry
www.precom-inc.com,United States,30/8/2024,"IT Documents, Contract Documents, Client Information",Information Technology (IT)
www.microchip.com,United States,29/8/2024,"Personal Information, Client Documents, Financial Records, Payroll Data, Contracts, Tax documents.",Manufacturing
