Name,Date,Tags,Sector,Countries
northernsafety.com,02/01/2024,"accounting reports, credit card information, finance po reports, project folders, qa documents, warehouse information",Distributor,United States
thompsoncreek.com,02/01/2024,"payroll, ar records, bank deposit confirmations, employee withholding certificate, kpi, learning and development",Service Provider,United States
mgfsourcing.com,02/01/2024,"finance/hr data, passwords, personal images, sales reports",Retail,United States
www.eurobulk.gr,10/01/2024,"Personal Information, Client Documents, Payroll Records, Accounting Files, Contracts, Tax Information",Transportation,Greece
usdermpartners.com,22/01/2024,"accounting & finance data, business office data, compliance data, employees personal folders and documents, legal data, scans and fax, credentialing data, human resources",Healthcare,United States
wielton.com.pl,23/01/2024,"change management documentation, currency exchange sheet, project documentations, project drawings",Transportation,Poland
keybenefit.com,23/01/2024,"audit data, client relations decouments, executive level documents, pmo documents, users and employee data",Financial Services,United States
dutyfreeamericas.com,23/01/2024,"duty free docs, finance docs, hr docs, legal docs",Retail,United States
atos.com,23/01/2024,"action logs, employee personal data, personal identification documents, project plan and organisation structure, vetting forms",Industrial Automation,Italy
posiplus.com,23/01/2024,"employee personal data, field service management procedures, password files",Manufacturing,Canada
hpecds.com,23/01/2024,"action logs, employee personal data, personal identification documents, project plan and organisation structure, vetting forms, data mart extractions, developer handover checklists",Technology,United Kingdom
pkaufmann.com,23/01/2024,"confidential information, hr, accounting and finance data, scanned documents, user personal information",Manufacturing,United States
memc.com,23/01/2024,"clients data, nda documents, personal employees documents and info, r&d/engineering data",Semiconductor,United States
www.broadgrain.com,23/01/2024,Company Analysis ,Agriculture,Canada
grupoamper.com,26/01/2024,"payroll, r&d data, scans, company data:hr, finance, pmo data, users and employee personal data",Telecommunication,Spain
scrubsandbeyond.com,26/01/2024,"client services documents, employee records, payroll/accounting information",Healthcare,United States
www.tbmdf.com,04/02/2024,"Invoice Documents, Business Process Documents ",Industrial Machinery & Equipment,United States
modplan.co.uk,05/02/2024,"users personal data, director level data, finance data, payroll data",Construction,United Kingdom
