Name,Date,Tags,Sector,Countries,Ransomware Group,Data Type,Sector Type
northernsafety.com,2/1/2024,accounting reports,Distributor,United States,BlackBasta,Accounting/Audit data,distributor
northernsafety.com,2/1/2024,credit card information,Distributor,United States,BlackBasta,Payment/Payroll/Billing data,distributor
northernsafety.com,2/1/2024,finance po reports,Distributor,United States,BlackBasta,Financial data,distributor
northernsafety.com,2/1/2024,project folders,Distributor,United States,BlackBasta,Project data,distributor
northernsafety.com,2/1/2024,qa documents,Distributor,United States,BlackBasta,qa documents,distributor
northernsafety.com,2/1/2024,warehouse information,Distributor,United States,BlackBasta,warehouse information,distributor
thompsoncreek.com,2/1/2024,payroll,Service Provider,United States,BlackBasta,Payment/Payroll/Billing data,Service Provider
thompsoncreek.com,2/1/2024,ar records,Service Provider,United States,BlackBasta,ar records,Service Provider
thompsoncreek.com,2/1/2024,bank deposit confirmations,Service Provider,United States,BlackBasta,Bank data,Service Provider
thompsoncreek.com,2/1/2024,employee withholding certificate,Service Provider,United States,BlackBasta,Employee data,Service Provider
thompsoncreek.com,2/1/2024,kpi,Service Provider,United States,BlackBasta,kpi,Service Provider
thompsoncreek.com,2/1/2024,learning and development,Service Provider,United States,BlackBasta,learning and development,Service Provider
mgfsourcing.com,2/1/2024,finance/hr data,Retail,United States,BlackBasta,Financial data,retail
mgfsourcing.com,2/1/2024,passwords,Retail,United States,BlackBasta,Password data,retail
mgfsourcing.com,2/1/2024,personal images,Retail,United States,BlackBasta,Personal/User data,retail
mgfsourcing.com,2/1/2024,sales reports,Retail,United States,BlackBasta,Sales data,retail
www.eurobulk.gr,10/1/2024,personal information,Transportation,Greece,Play,Personal/User data,Service Provider
www.eurobulk.gr,10/1/2024,client documents,Transportation,Greece,Play,Customer data,Service Provider
www.eurobulk.gr,10/1/2024,payroll records,Transportation,Greece,Play,Payment/Payroll/Billing data,Service Provider
www.eurobulk.gr,10/1/2024,accounting files,Transportation,Greece,Play,Accounting/Audit data,Service Provider
www.eurobulk.gr,10/1/2024,contracts,Transportation,Greece,Play,Contractor data,Service Provider
www.eurobulk.gr,10/1/2024,tax information,Transportation,Greece,Play,Tax data,Service Provider
usdermpartners.com,22/1/2024,accounting & finance data,Healthcare,United States,BlackBasta,Financial data,healthcare
usdermpartners.com,22/1/2024,business office data,Healthcare,United States,BlackBasta,Company data,healthcare
usdermpartners.com,22/1/2024,compliance data,Healthcare,United States,BlackBasta,compliance data,healthcare
usdermpartners.com,22/1/2024,employees personal folders and documents,Healthcare,United States,BlackBasta,Personal/User data,healthcare
usdermpartners.com,22/1/2024,legal data,Healthcare,United States,BlackBasta,Legal data,healthcare
usdermpartners.com,22/1/2024,scans and fax,Healthcare,United States,BlackBasta,scans and fax,healthcare
usdermpartners.com,22/1/2024,credentialing data,Healthcare,United States,BlackBasta,credentialing data,healthcare
usdermpartners.com,22/1/2024,human resources,Healthcare,United States,BlackBasta,HR data,healthcare
wielton.com.pl,23/1/2024,change management documentation,Transportation,Poland,BlackBasta,change management documentation,Service Provider
wielton.com.pl,23/1/2024,currency exchange sheet,Transportation,Poland,BlackBasta,currency exchange sheet,Service Provider
wielton.com.pl,23/1/2024,project documentations,Transportation,Poland,BlackBasta,Project data,Service Provider
wielton.com.pl,23/1/2024,project drawings,Transportation,Poland,BlackBasta,Project data,Service Provider
keybenefit.com,23/1/2024,audit data,Financial Services,United States,BlackBasta,Accounting/Audit data,Service Provider
keybenefit.com,23/1/2024,client relations decouments,Financial Services,United States,BlackBasta,Customer data,Service Provider
keybenefit.com,23/1/2024,executive level documents,Financial Services,United States,BlackBasta,executive level documents,Service Provider
keybenefit.com,23/1/2024,pmo documents,Financial Services,United States,BlackBasta,Project data,Service Provider
keybenefit.com,23/1/2024,users and employee data,Financial Services,United States,BlackBasta,Personal/User data,Service Provider
dutyfreeamericas.com,23/1/2024,duty free docs,Retail,United States,BlackBasta,duty free docs,retail
dutyfreeamericas.com,23/1/2024,finance docs,Retail,United States,BlackBasta,Financial data,retail
dutyfreeamericas.com,23/1/2024,hr docs,Retail,United States,BlackBasta,HR data,retail
dutyfreeamericas.com,23/1/2024,legal docs,Retail,United States,BlackBasta,Legal data,retail
atos.com,23/1/2024,action logs,Industrial Automation,Italy,BlackBasta,action logs,industrial automation
atos.com,23/1/2024,employee personal data,Industrial Automation,Italy,BlackBasta,Personal/User data,industrial automation
atos.com,23/1/2024,personal identification documents,Industrial Automation,Italy,BlackBasta,Personal/User data,industrial automation
atos.com,23/1/2024,project plan and organisation structure,Industrial Automation,Italy,BlackBasta,Project data,industrial automation
atos.com,23/1/2024,vetting forms,Industrial Automation,Italy,BlackBasta,vetting forms,industrial automation
posiplus.com,23/1/2024,employee personal data,Manufacturing,Canada,BlackBasta,Personal/User data,manufacturing
posiplus.com,23/1/2024,field service management procedures,Manufacturing,Canada,BlackBasta,field service management procedures,manufacturing
posiplus.com,23/1/2024,password files,Manufacturing,Canada,BlackBasta,Password data,manufacturing
hpecds.com,23/1/2024,action logs,Technology,United Kingdom,BlackBasta,action logs,technology
hpecds.com,23/1/2024,employee personal data,Technology,United Kingdom,BlackBasta,Personal/User data,technology
hpecds.com,23/1/2024,personal identification documents,Technology,United Kingdom,BlackBasta,Personal/User data,technology
hpecds.com,23/1/2024,project plan and organisation structure,Technology,United Kingdom,BlackBasta,Project data,technology
hpecds.com,23/1/2024,vetting forms,Technology,United Kingdom,BlackBasta,vetting forms,technology
hpecds.com,23/1/2024,data mart extractions,Technology,United Kingdom,BlackBasta,data mart extractions,technology
hpecds.com,23/1/2024,developer handover checklists,Technology,United Kingdom,BlackBasta,developer handover checklists,technology
pkaufmann.com,23/1/2024,confidential information,Manufacturing,United States,BlackBasta,Confidential data,manufacturing
pkaufmann.com,23/1/2024,hr,Manufacturing,United States,BlackBasta,HR data,manufacturing
pkaufmann.com,23/1/2024,accounting and finance data,Manufacturing,United States,BlackBasta,Financial data,manufacturing
pkaufmann.com,23/1/2024,scanned documents,Manufacturing,United States,BlackBasta,scanned documents,manufacturing
pkaufmann.com,23/1/2024,user personal information,Manufacturing,United States,BlackBasta,Personal/User data,manufacturing
memc.com,23/1/2024,clients data,Semiconductor,United States,BlackBasta,Customer data,semiconductor
memc.com,23/1/2024,nda documents,Semiconductor,United States,BlackBasta,Confidential data,semiconductor
memc.com,23/1/2024,personal employees documents and info,Semiconductor,United States,BlackBasta,Personal/User data,semiconductor
memc.com,23/1/2024,r&d/engineering data,Semiconductor,United States,BlackBasta,R&D data,semiconductor
www.broadgrain.com,23/1/2024,company analysis,Agriculture,Canada,Play,Company data,agriculture
grupoamper.com,26/1/2024,payroll,Telecommunication,Spain,BlackBasta,Payment/Payroll/Billing data,Telecommunications
grupoamper.com,26/1/2024,r&d data,Telecommunication,Spain,BlackBasta,R&D data,Telecommunications
grupoamper.com,26/1/2024,scans,Telecommunication,Spain,BlackBasta,scans,Telecommunications
grupoamper.com,26/1/2024,company data:hr,Telecommunication,Spain,BlackBasta,Company data,Telecommunications
grupoamper.com,26/1/2024,finance,Telecommunication,Spain,BlackBasta,Financial data,Telecommunications
grupoamper.com,26/1/2024,pmo data,Telecommunication,Spain,BlackBasta,Project data,Telecommunications
grupoamper.com,26/1/2024,users and employee personal data,Telecommunication,Spain,BlackBasta,Personal/User data,Telecommunications
scrubsandbeyond.com,26/1/2024,client services documents,Healthcare,United States,BlackBasta,Customer data,healthcare
scrubsandbeyond.com,26/1/2024,employee records,Healthcare,United States,BlackBasta,Employee data,healthcare
scrubsandbeyond.com,26/1/2024,payroll/accounting information,Healthcare,United States,BlackBasta,Accounting/Audit data,healthcare
www.tbmdf.com,4/2/2024,invoice documents,Industrial Machinery & Equipment,United States,Play,Accounting/Audit data,industrial machinery & equipment
www.tbmdf.com,4/2/2024,business process documents,Industrial Machinery & Equipment,United States,Play,Company data,industrial machinery & equipment
modplan.co.uk,5/2/2024,users personal data,Construction,United Kingdom,BlackBasta,Personal/User data,construction
modplan.co.uk,5/2/2024,director level data,Construction,United Kingdom,BlackBasta,director level data,construction
modplan.co.uk,5/2/2024,finance data,Construction,United Kingdom,BlackBasta,Financial data,construction
modplan.co.uk,5/2/2024,payroll data,Construction,United Kingdom,BlackBasta,Payment/Payroll/Billing data,construction
www.ykp.com.br,7/2/2024,finance documents,Consulting,Brazil,RansomHub,Financial data,Service Provider
www.ykp.com.br,7/2/2024,marriage certificates,Consulting,Brazil,RansomHub,marriage certificates,Service Provider
www.ykp.com.br,7/2/2024,employee payrolls,Consulting,Brazil,RansomHub,Employee data,Service Provider
www.ykp.com.br,7/2/2024,real estate loans,Consulting,Brazil,RansomHub,real estate loans,Service Provider
www.ykp.com.br,7/2/2024,bank statements,Consulting,Brazil,RansomHub,Bank data,Service Provider
www.ykp.com.br,7/2/2024,accounting documents,Consulting,Brazil,RansomHub,Accounting/Audit data,Service Provider
www.ykp.com.br,7/2/2024,employees details,Consulting,Brazil,RansomHub,Employee data,Service Provider
akdenizchemson.com,9/2/2024,corporate data,Manufacturing,Australia,BlackBasta,Company data,manufacturing
akdenizchemson.com,9/2/2024,department data,Manufacturing,Australia,BlackBasta,Company data,manufacturing
akdenizchemson.com,9/2/2024,hr,Manufacturing,Australia,BlackBasta,HR data,manufacturing
akdenizchemson.com,9/2/2024,users personal data,Manufacturing,Australia,BlackBasta,Personal/User data,manufacturing
akdenizchemson.com,9/2/2024,financial,Manufacturing,Australia,BlackBasta,Financial data,manufacturing
www.hariripontarini.com,11/2/2024,business process documents,Architecture,Canada,Play,Company data,architecture
www.hariripontarini.com,11/2/2024,invoice documents,Architecture,Canada,Play,Accounting/Audit data,architecture
www.multidata.lu,11/2/2024,business process documents,Technology,Luxembourg,Play,Company data,technology
www.plaistedcompanies.com,11/2/2024,personal information,Mining,United States,Play,Personal/User data,mining
www.plaistedcompanies.com,11/2/2024,client documents,Mining,United States,Play,Customer data,mining
www.plaistedcompanies.com,11/2/2024,financial information,Mining,United States,Play,Financial data,mining
www.jacksonpaper.net,11/2/2024,operation documents,Manufacturing,United States,Play,Operational data,manufacturing
www.jacksonpaper.net,11/2/2024,project documents,Manufacturing,United States,Play,Project data,manufacturing
www.jacksonpaper.net,11/2/2024,business process documents,Manufacturing,United States,Play,Company data,manufacturing
www.messec.dk,11/2/2024,operation documents,Tourism,Denmark,Play,Operational data,tourism
www.nobleenviro.com,11/2/2024,client information,Environmental,United States,Play,Customer data,environmental
www.nobleenviro.com,11/2/2024,bank statement,Environmental,United States,Play,Bank data,environmental
www.nobleenviro.com,11/2/2024,employee information,Environmental,United States,Play,Employee data,environmental
www.nobleenviro.com,11/2/2024,financial documents,Environmental,United States,Play,Financial data,environmental
www.nobleenviro.com,11/2/2024,invoice documents,Environmental,United States,Play,Accounting/Audit data,environmental
www.omega-industries.com,11/2/2024,personal information,Manufacturing,United States,Play,Personal/User data,manufacturing
www.omega-industries.com,11/2/2024,client documents,Manufacturing,United States,Play,Customer data,manufacturing
www.omega-industries.com,11/2/2024,financial information,Manufacturing,United States,Play,Financial data,manufacturing
www.creativeplaythings.com,11/2/2024,personal information,Retail,United States,Play,Personal/User data,retail
www.creativeplaythings.com,11/2/2024,client information,Retail,United States,Play,Customer data,retail
www.dminj.com,11/2/2024,business process documents,Retail,United States,Play,Company data,retail
www.truefamilyenterprises.com,11/2/2024,personal information,Venture Capital & Private Equity,United States,Play,Personal/User data,venture capital & private equity
www.truefamilyenterprises.com,11/2/2024,pharmaceutical data,Venture Capital & Private Equity,United States,Play,Patient/Medical data,venture capital & private equity
www.truefamilyenterprises.com,11/2/2024,accounting documents,Venture Capital & Private Equity,United States,Play,Accounting/Audit data,venture capital & private equity
www.pipusa.com,11/2/2024,not yet published,Manufacturing,United States,Play,not yet published,manufacturing
www.rsp.ca,11/2/2024,client documents,Accounting,Canada,Play,Customer data,accounting
www.baskervill.com,11/2/2024,project documents,Architecture,United States,Play,Project data,architecture
www.baskervill.com,11/2/2024,business license,Architecture,United States,Play,Company data,architecture
dynasafe.com,13/2/2024,corporate data,Security,Sweden,BlackBasta,Company data,Safety and Risk Management
dynasafe.com,13/2/2024,projects data,Security,Sweden,BlackBasta,Project data,Safety and Risk Management
dynasafe.com,13/2/2024,users personal data,Security,Sweden,BlackBasta,Personal/User data,Safety and Risk Management
robson.com,13/2/2024,clients data,Real Estate,United States,BlackBasta,Customer data,real estate
robson.com,13/2/2024,corporate data,Real Estate,United States,BlackBasta,Company data,real estate
robson.com,13/2/2024,employeepersonal documents and folders,Real Estate,United States,BlackBasta,Personal/User data,real estate
elutia.com,13/2/2024,corporate data,Healthcare,United States,BlackBasta,Company data,healthcare
elutia.com,13/2/2024,employee personal data,Healthcare,United States,BlackBasta,Personal/User data,healthcare
elutia.com,13/2/2024,passports,Healthcare,United States,BlackBasta,Passport data,healthcare
elutia.com,13/2/2024,scans,Healthcare,United States,BlackBasta,scans,healthcare
elutia.com,13/2/2024,r&d documents,Healthcare,United States,BlackBasta,R&D data,healthcare
elutia.com,13/2/2024,tax forms,Healthcare,United States,BlackBasta,Tax data,healthcare
talalayglobal.com,13/2/2024,accounting & finance data,Manufacturing,United States,BlackBasta,Financial data,manufacturing
talalayglobal.com,13/2/2024,business office data,Manufacturing,United States,BlackBasta,Company data,manufacturing
talalayglobal.com,13/2/2024,compliance data,Manufacturing,United States,BlackBasta,compliance data,manufacturing
talalayglobal.com,13/2/2024,employees personal folders and documents,Manufacturing,United States,BlackBasta,Personal/User data,manufacturing
talalayglobal.com,13/2/2024,legal data,Manufacturing,United States,BlackBasta,Legal data,manufacturing
